format,typ_2026,titel,beschreibung,slot_ref
interview,Interview,Background Call: The Chancellor's Advisor,"Wolfgang Schmidt war von 2021 bis 2025 Minister für besondere Aufgaben und Chef des Bundeskanzleramtes. Als rechte Hand von Olaf Scholz war er einer der wichtigsten Berater des Bundeskanzlers und in jener Zeit eine Schlüsselfigur der Deutschen Bundesregierung. Wir wagen einen Background Call und wollen herausfinden, wie in der Regierungszentrale Deutschlands gearbeitet wird, welche Seite der Politik normalerweise verborgen bleibt und wie ein Bundeskanzler Entscheidungen trifft.",SL127
interview,Interview,Breaking Into Journalism: Is It Still Worth It?,"Mit 14 Jahren entschied sich Amelie Marie Weber für eine Laufbahn als Journalistin. Dieser Idee blieb sie die letzten 17 Jahre treu und ist heute erfolgreiche ARD-Moderatorin und Journalistin. Für die Tagesschau informiert sie in Onlineformaten Millionen von Zuschauern, sitzt in Talk Shows und moderierte die diesjährigen Olympischen Winterspiele. Warum sie der Beruf der Journalistin im Kindesalter so begeistert hat und sie noch heute für eine Laufbahn im Journalismus wirbt, erzählt sie uns in einem ausführlichen Interview.",SL130
interview,Interview,Fireside Chat mit Pip Klöckner,"KI, Deglobalisierung, Energiewende, demografischer Wandel - unsere Wirtschaft steht vor fundamentalen Umbrüchen. Philipp Klöckner, einer der schärfsten Wirtschaftsanalysten Deutschlands und Host des Podcasts ""Doppelgänger Tech Talk"", analysiert die großen Trends, die den Arbeitsmarkt der nächsten Jahre prägen werden. In diesem Fireside Chat mit Jan Henri Kalinowski teilt er seine Strategien: Welche Branchen boomen, welche schrumpfen? Welche Skills werden wirklich gebraucht - und welche sind überbewertet? Wo entstehen die besten Karrierechancen für Young Professionals? Philipp gibt ungeschminkte Einblicke in Wirtschaftsdynamiken, Unternehmensstrategien und Arbeitsmarkttrends - ohne Buzzwords, dafür mit klaren Handlungsempfehlungen. Ein Must-See für alle, die verstehen wollen, wohin sich die Wirtschaft bewegt und wie sie sich optimal positionieren.",SL059
interview,Interview,From Application to Hiring: Building Careers & Teams in the Age of AI,"How should you apply for jobs in times of AI — and how do you hire your first team? Annika in der Beek, CHRO at Statista, shares real-world hiring insights, challenges outdated application processes, and explains what future leaders need to know today.",SL072
interview,Interview,From zero to gold.,"What separates the best from the rest isn’t talent but how they improve.

Drawing from 23 years of elite competition, Jan Frodeno shares the mindset behind sustained excellence. This keynote explores how to get better at getting better, how learning to embrace the pain unlocks the next level and why true progress requires you to take things personally.

Honest and practical, this is about building resilience, ownership, and a relentless drive to improve in sport, business, and life.",SL064
interview,Interview,German Tech: Der nächste Boom kommt nicht aus Berlin,,SL118
interview,Interview,"Interview: Transformation, Kultur und Hybrides Führen - Tobias Key-Learnings aus 20 Jahren Führungserfahrung","Tobias Krüger hat schon viel Veränderung gesehen - und hat diese oftmals aktiv selbst gestaltet und geführt. In diesem Interview gibt Tobias wertvolle Tipps zu Hybrider Führung und erklärt, welche Rolle der gesellschaftliche Wandel samt seiner Normen dabei spielt. Durch seine jahrelange Erfahrung als Führungskraft, Kulturmanager & Gründer weiß Tobias ob der Bedeutung des Menschen - im Konzern und im Start-Up. Bei aller technologischer Herausforderung.
Warum Tobias glaubt, dass man für C-Level zwingend Transformationserfahrungen haben muss, das erfahrt ihr in diesem Interview.",SL083
interview,Interview,"Live-Podcast mit Lena Cassel: Mut, Mindset & Männerwelt - Lenas Weg im Sportjournalismus","Lena Cassel ist eine leidenschaftliche Sportjournalistin & Podcasterin, die mit viel Mut und einem starken Mindset ihren Platz in der Männerwelt des Sports gefunden hat. Neben ihrer Arbeit vor und hinter den Kulissen teilt sie in diesem Live-Podcast ehrliche Einblicke aus ihrem Weg, ihre Erfahrungen und die Herausforderungen, die sie als Frau in einer männerdominierten Branche meistert. Lena inspiriert mit ihrer authentischen Art und zeigt, wie man mit Selbstvertrauen und Durchhaltevermögen seine Träume verwirklichen kann.",SL076
interview,Interview,Quantum Computing: The Next Big Thing After AI?,"Nach AI kommt Quantum - oder? IQM-CEO Jan Goetz baut Europas führende Quantencomputer, OMR-Gründer Philipp Westermeyer fragt nach: Ist Quantum das nächste große Ding oder überhypter Zukunftstraum? Wann wird Quantum real? Welche Industrien profitieren zuerst? Und was bedeutet das für Startups, Investoren und die Tech-Landschaft? Ein faszinierendes Gespräch über die Technologie, die alles verändern könnte - wenn sie funktioniert.",SL060
interview,Interview,"Sichtbar reicht nicht: Personal Branding, das skaliert","Du baust dir gerade Sichtbarkeit auf - aber die eigentliche Frage ist: Führt sie auch in die Richtung, die du willst? In diesem Fireside Chat wird Personal Branding als strategisches Werkzeug greifbar: für Karriereentscheidungen, Leadership-Wirkung und unternehmerisches Wachstum - langfristig gedacht statt kurzfristig gepostet.

Das nimmst du mit:
- Wie du eine klare Positionierung entwickelst, die zu deinen Stärken passt und Entscheidungen leichter macht 
- Wie du Content nachhaltig planst, ohne dich zu verbiegen - und dabei Vertrauen in deiner Community aufbaust 
- Welche Wege es gibt, Branding zu monetarisieren (Produkte, Services, Kooperationen) - und was wirklich skalierbar ist 
- Wie du aus Reichweite ein belastbares Business-Modell formst und deine Wirkung messbar machst 
- Welche Prinzipien dir helfen, konsequent Verantwortung für deine Marke zu übernehmen - auch wenn du noch nicht „fertig“ bist

Du gehst raus mit mehr Direction: Where ambition meets direction - und du setzt deine Sichtbarkeit so ein, dass sie Zukunft gestaltet.",SL071
interview,Interview,Survive the AI Hype - Die Geschäftsmodelle von morgen und wie man aus Krisen gestärkt hervorgeht,"Von der Weltfinanzkrise 2008 über die COVID-Pandemie bis zur KI-Revolution: Serial Entrepreneur Saygin Yalcin hat alles überlebt - und dabei Millionen verdient. Wie baut man krisensichere Geschäftsmodelle? Wann ist Hype gefährlich, wann Chance? Saygin teilt seine härtesten Lektionen, größten Comebacks und seine Vision für die Post-AI-Ökonomie. Ungeschönt, motivierend und voller konkreter Strategien für Gründer*innen, die langfristig gewinnen wollen.",SL043
interview,Interview,The Correspondent: Our Eyes In War,"In Zeiten von Kriegen und Krisen sind es die Berichte und Bilder in den Nachrichten, die uns fassungslos machen. Oft machen Bilder erst annähernd greifbar, welcher Schrecken mit Kriegen einhergeht. Und damit wir vor dem Fernseher oder Smartphone sehen und verstehen, was in der Ukraine oder dem Nahen Osten passiert, fährt Ibrahim Naber direkt dorthin. Als Kriegsreporter für „Welt“ berichtet Ibrahim direkt von der Kriegsfront. Heute gibt er einen tiefen Einblick darüber, was es heißt, wenn neben Mikrofon und Kamera auch Schutzhelm und eine kugelsichere Weste zum Alltagswerkzeug von Journalisten werden.",SL132
